Price,Close,High,Low,Open,Volume,Returns
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,
Date,,,,,,
2016-01-22,7422.4501953125,7433.39990234375,7327.60009765625,7355.7001953125,229200,0.026020436578525687
2016-01-25,7436.14990234375,7487.14990234375,7421.2001953125,7468.75,163200,0.002399425886598916
2016-01-27,7437.75,7477.89990234375,7419.7001953125,7469.60009765625,187600,0.00027973171337885016
2016-01-28,7424.64990234375,7468.85009765625,7409.60009765625,7426.5,274500,-0.00228968800418472
2016-01-29,7563.5498046875,7575.64990234375,7402.7998046875,7413.35009765625,298700,0.024320321553461224
2016-02-01,7555.9501953125,7600.4501953125,7541.25,7589.5,200400,-0.0013061978095756932
2016-02-02,7455.5498046875,7576.2998046875,7428.0498046875,7566.64990234375,230200,-0.017273870848628893
2016-02-03,7361.7998046875,7419.39990234375,7350.2998046875,7392.4501953125,192000,-0.016346882951995545
2016-02-04,7404.0,7457.0498046875,7365.9501953125,7411.4501953125,222700,0.007452016539667339
2016-02-05,7489.10009765625,7503.14990234375,7406.64990234375,7418.25,249800,0.01494194043127033
2016-02-08,7387.25,7512.5498046875,7363.2001953125,7489.7001953125,171500,-0.0176797112105047
2016-02-09,7298.2001953125,7323.4501953125,7275.14990234375,7303.9501953125,212100,-0.015670885118785696
2016-02-10,7215.7001953125,7271.85009765625,7177.75,7264.2998046875,246900,-0.01469540395300263
2016-02-11,6976.35009765625,7208.64990234375,6959.9501953125,7203.60009765625,292300,-0.04312195885788866
2016-02-12,6980.9501953125,7034.7998046875,6869.0,7023.64990234375,333900,0.000857199949746379
2016-02-15,7162.9501953125,7182.7998046875,7056.7998046875,7057.35009765625,354200,0.033892234349253814
2016-02-16,7048.25,7204.64990234375,7037.7001953125,7201.25,253800,-0.0208168771023746
2016-02-17,7108.4501953125,7123.7001953125,6960.64990234375,7058.85009765625,260000,0.011103501423225737
2016-02-18,7191.75,7215.10009765625,7127.85009765625,7177.39990234375,246700,0.015233945954233287
2016-02-19,7210.75,7226.85009765625,7145.9501953125,7170.5498046875,192300,0.0034344909097228983
2016-02-22,7234.5498046875,7252.39990234375,7200.7001953125,7208.85009765625,154400,0.004290780583677112
2016-02-23,7109.5498046875,7241.7001953125,7090.7001953125,7240.2998046875,194400,-0.022461660281156804
2016-02-24,7018.7001953125,7090.7998046875,7009.75,7075.0,199700,-0.01661209154335348
